# Filename : results\simulations\PINN_Dynamics_PositionUncertainty.txt
# Version  : PINN_Matrix_Solver_v2.2_DataFixed
# Start    : Fri Dec  5 13:45:44 2025
# (1) time	(2) <x>	(3) <x>-dx	(4) <x>+dx
# ================================================================================
5.8528428094	1.8202747371	1.0904394442	2.5501100300
5.8862876254	1.7263968360	0.9792270635	2.4735666085
5.9197324415	1.6274167441	0.8644089081	2.3904245802
5.9531772575	1.5252009161	0.7498305742	2.3005712580
5.9866220736	1.4219269545	0.6392625555	2.2045913534
6.0200668896	1.3200197187	0.5361456602	2.1038937772
6.0535117057	1.2220667665	0.4433745151	2.0007590180
6.0869565217	1.1307175720	0.3631195926	1.8983155513
6.1204013378	1.0485722017	0.2966982313	1.8004461722
6.1538461538	0.9780659934	0.2445201673	1.7116118194
6.1872909699	0.9213571947	0.2061487712	1.6365656182
6.2207357860	0.8802244720	0.1805235269	1.5799254171
6.2541806020	0.8559806675	0.1663582384	1.5456030965
6.2876254181	0.8494082217	0.1626428727	1.5361735706
6.3210702341	0.8607203419	0.1690668748	1.5523738090
6.3545150502	0.8895503777	0.1861549125	1.5929458429
6.3879598662	0.9349700795	0.2150391382	1.6549010207
6.4214046823	0.9955355793	0.2569929958	1.7340781628
6.4548494983	1.0693581824	0.3129432572	1.8257731077
6.4882943144	1.1541955016	0.3831160435	1.9252749596
6.5217391304	1.2475572221	0.4668608130	2.0282536313
6.5551839465	1.3468189343	0.5626245372	2.1310133313
6.5886287625	1.4493370630	0.6680294059	2.2306447202
6.6220735786	1.5525580021	0.7800166330	2.3250993711
6.6555183946	1.6541150962	0.8950351572	2.4131950351
6.6889632107	1.7519080855	1.0092680464	2.4945481246
6.7224080268	1.8441609480	1.1188975658	2.5694243303
6.7558528428	1.9294556610	1.2204080021	2.6385033199
6.7892976589	2.0067411348	1.3109082678	2.7025740017
6.8227424749	2.0753183260	1.3884247890	2.7622118629
6.8561872910	2.1348041927	1.4520863207	2.8175220648
6.8896321070	2.1850785899	1.5021270127	2.8680301670
6.9230769231	2.2262193188	1.5396877175	2.9127509202
6.9565217391	2.2584312685	1.5664699889	2.9503925480
6.9899665552	2.2819758556	1.5843409073	2.9796108039
7.0234113712	2.2971067879	1.5949774692	2.9992361065
7.0568561873	2.3040175343	1.5995990792	3.0084359893
7.0903010033	2.3028048589	1.5987996829	3.0068100348
7.1237458194	2.2934514176	1.5924734932	2.9944293420
7.1571906355	2.2758288442	1.5798278734	2.9718298151
7.1906354515	2.2497210740	1.5594846723	2.9399574757
7.2240802676	2.2148659900	1.5296776223	2.9000543576
7.2575250836	2.1710119607	1.4885487297	2.8534751917
7.2909698997	2.1179845676	1.4345228114	2.8014463237
7.3244147157	2.0557579015	1.3666986246	2.7448171783
7.3578595318	1.9845243034	1.2851601930	2.6838884138
7.3913043478	1.9047563717	1.1911177098	2.6183950337
7.4247491639	1.8172554719	1.0868448028	2.5476661411
7.4581939799	1.7231818283	0.9754525382	2.4709111183
7.4916387960	1.6240624998	0.8605803891	2.3875446104
7.5250836120	1.5217750541	0.7460759599	2.2974741482
7.5585284281	1.4185064520	0.6357026618	2.2013102422
7.5919732441	1.3166884144	0.5328864329	2.1004903958
7.6254180602	1.2189122460	0.4405004775	1.9973240146
7.6588628763	1.1278276062	0.3606886785	1.8949665338
7.6923076923	1.0460309440	0.2947385912	1.7973232969
7.7257525084	0.9759501624	0.2430300819	1.7088702429
7.7591973244	0.9197324755	0.2051012337	1.6343637172
7.7926421405	0.8791423587	0.1798767521	1.5784079653
7.8260869565	0.8554759448	0.1660714009	1.5448804887
7.8595317726	0.8494972441	0.1626926818	1.5363018063
7.8929765886	0.8614002192	0.1694576574	1.5533427811
7.9264214047	0.8907991195	0.1869167059	1.5946815332
7.9598662207	0.9367476881	0.2162148850	1.6572804912
7.9933110368	0.9977860231	0.2586215251	1.7369505211
8.0267558528	1.0720121237	0.3150448375	1.8289794099
8.0602006689	1.1571736080	0.3856837019	1.9286635141
8.0936454849	1.2507738550	0.4698573182	2.0316903918
8.1270903010	1.3501859859	0.5659835661	2.1343884056
8.1605351171	1.4527677105	0.6716594203	2.2338760007
8.1939799331	1.5559701555	0.7838064992	2.3281338118
8.2274247492	1.6574343447	0.8988610684	2.4160076210
8.2608695652	1.7550699831	1.0130016903	2.4971382759
