# Filename :          results/figures/PINN_Dynamics_PositionUncertainty.txt
# Program version :   PINN_Matrix_Solver_v2.1_FixedPhase_Hermitian
# Start:              Wed Dec  3 23:27:08 2025
# (1) time	(2) expected position	(3) expected position - uncertainty	(4) expected position + uncertainty
# ================================================================================
6.5551839465	2.0224268197	1.3289471025	2.7159065368
6.5886287625	1.9469893996	1.2411436860	2.6528351132
6.6220735786	1.8633616259	1.1418135024	2.5849097495
6.6555183946	1.7725158738	1.0336703258	2.5113614219
6.6889632107	1.6757901673	0.9201212712	2.4314590634
6.7224080268	1.5748845789	0.8049452085	2.3448239494
6.7558528428	1.4718328729	0.6919831727	2.2516825731
6.7892976589	1.3689497540	0.5848646632	2.1530348449
6.8227424749	1.2687558340	0.4867730244	2.0507386436
6.8561872910	1.1738840502	0.4002483143	1.9475197862
6.8896321070	1.0869726649	0.3270324675	1.8469128622
6.9230769231	1.0105510214	0.2679745635	1.7531274793
6.9565217391	0.9469248759	0.2230302220	1.6708195298
6.9899665552	0.8980682943	0.1914012389	1.6047353498
7.0234113712	0.8655288102	0.1718511830	1.5592064374
7.0568561873	0.8503517740	0.1631735228	1.5375300252
7.0903010033	0.8530286637	0.1646807964	1.5413765310
7.1237458194	0.8734726277	0.1765006738	1.5704445816
7.1571906355	0.9110228132	0.1995200216	1.6225256048
7.1906354515	0.9644772053	0.2350084973	1.6939459134
7.2240802676	1.0321518927	0.2841151931	1.7801885923
7.2575250836	1.1119630128	0.3474377711	1.8764882544
7.2909698997	1.2015262217	0.4247608807	1.9782915627
7.3244147157	1.2982674831	0.5149633844	2.0815715817
7.3578595318	1.3995383437	0.6160516044	2.1830250829
7.3913043478	1.5027287068	0.7252748339	2.2801825797
7.4247491639	1.6053704303	0.8392939962	2.3714468643
7.4581939799	1.7052258453	0.9543900314	2.4560616592
7.4916387960	1.8003564530	1.0667099729	2.5340029331
7.5250836120	1.8891685293	1.1725523081	2.6057847506
7.5585284281	1.9704340418	1.2686840168	2.6721840668
7.5919732441	2.0432870434	1.3526562297	2.7339178571
7.6254180602	2.1071974266	1.4230519171	2.7913429360
7.6588628763	2.1619254740	1.4795836698	2.8442672781
7.6923076923	2.2074619280	1.5229901955	2.8919336604
7.7257525084	2.2439592187	1.5547507376	2.9331676998
7.7591973244	2.2716599853	1.5767008663	2.9666191042
7.7926421405	2.2908290607	1.5906489269	2.9910091945
7.8260869565	2.3016946669	1.5980625984	3.0053267355
7.8595317726	2.3044037190	1.5998530190	3.0089544190
7.8929765886	2.2989949275	1.5962563524	3.0017335025
7.9264214047	2.2853919069	1.5868049307	2.9839788831
7.9598662207	2.2634168548	1.5703851271	2.9564485824
7.9933110368	2.2328236803	1.5453872896	2.9202600710
8.0267558528	2.1933478592	1.5099549093	2.8767408090
8.0602006689	2.1447688895	1.4623263127	2.8272114663
8.0936454849	2.0869801235	1.4012282111	2.7727320360
8.1270903010	2.0200600395	1.3262385769	2.7138815021
8.1605351171	1.9443387430	1.2380186218	2.6506588641
8.1939799331	1.8604536774	1.1383477160	2.5825596387
8.2274247492	1.7693891641	1.0299675468	2.5088107814
8.2608695652	1.6724954412	0.9163027804	2.4286881020
8.2943143813	1.5714842533	0.8011391508	2.3418293557
8.3277591973	1.4683996693	0.6883148382	2.2484845004
8.3612040134	1.3655645487	0.5814480800	2.1496810174
8.3946488294	1.2655048227	0.4837038099	2.0473058356
8.4280936455	1.1708553795	0.3975977959	1.9441129630
8.4615384615	1.0842527178	0.3248434285	1.8436620072
8.4949832776	1.0082205789	0.2662594783	1.7501816795
8.5284280936	0.9450553830	0.2217733779	1.6683373881
