# Filename :          results/figures/PINN_Dynamics_MomentumUncertainty.txt
# Program version :   PINN_Matrix_Solver_v2.1_FixedPhase_Hermitian
# Start:              Wed Dec  3 23:27:08 2025
# (1) time	(2) expected momentum	(3) expected momentum - uncertainty	(4) expected momentum + uncertainty
# ================================================================================
9.0635451505	1.3753224983	0.2269245439	2.5237204527
9.0969899666	1.2701539214	0.1324707329	2.4078371099
9.1304347826	1.1495522589	0.0120055566	2.2870989612
9.1638795987	1.0187741116	-0.1219521767	2.1595004000
9.1973244147	0.8825202556	-0.2597288958	2.0247694070
9.2307692308	0.7446834309	-0.3949441735	1.8843110352
9.2642140468	0.6081750343	-0.5243371120	1.7406871805
9.2976588629	0.4748411960	-0.6472813113	1.5969637033
9.3311036789	0.3454720094	-0.7651451209	1.4560891396
9.3645484950	0.2199007448	-0.8805649848	1.3203664744
9.3979933110	0.0971832091	-0.9966806106	1.1910470288
9.4314381271	-0.0241585054	-1.1164022898	1.0680852789
9.4648829431	-0.1458483837	-1.2418061992	0.9501094319
9.4983277592	-0.2695486910	-1.3737482324	0.8346508503
9.5317725753	-0.3965572294	-1.5117404091	0.7186259503
9.5652173913	-0.5275344849	-1.6540730033	0.5990040336
9.5986622074	-0.6622833103	-1.7981298247	0.4735632042
9.6321070234	-0.7995999169	-1.9408465277	0.3416466938
9.6655518395	-0.9372096940	-2.0792798874	0.2048604995
9.6989966555	-1.0717950987	-2.2112529465	0.0676627491
9.7324414716	-1.1991160290	-2.3359830859	-0.0622489721
9.7658862876	-1.3142161782	-2.4544667982	-0.1739655582
9.7993311037	-1.4117023932	-2.5692285650	-0.2541762215
9.8327759197	-1.4860784673	-2.6830592435	-0.2890976911
9.8662207358	-1.5321105059	-2.7969134846	-0.2673075273
9.8996655518	-1.5451983279	-2.9080472641	-0.1823493918
9.9331103679	-1.5217264902	-3.0096562542	-0.0337967262
9.9665551839	-1.4593695334	-3.0921642242	0.1734251574
10.0000000000	-1.3573288707	-3.1451966528	0.4305389114
