# Filename : results\simulations\PINN_Dynamics_PositionUncertainty.txt
# Version  : PINN_Matrix_Solver_v2.3_Final
# Start    : Sat Dec  6 00:33:51 2025
# (1) time	(2) <x>	(3) <x>-dx	(4) <x>+dx
# ================================================================================
4.2809364548	1.5986224742	0.8316709007	2.3655740478
4.3143812709	1.6987258236	0.9468137967	2.4506378505
4.3478260870	1.7942229642	1.0594344818	2.5290114466
4.3812709030	1.8834963977	1.1658119683	2.6011808270
4.4147157191	1.9652936744	1.2626722440	2.6679151048
4.4481605351	2.0387253742	1.3475057263	2.7299450221
4.4816053512	2.1032402733	1.4188220098	2.7876585369
4.5150501672	2.1585810396	1.4762597686	2.8409023105
4.5484949833	2.2047251007	1.5204968540	2.8889533474
4.5819397993	2.2418162783	1.5529746987	2.9306578578
4.6153846154	2.2700933028	1.5755174623	2.9646691433
4.6488294314	2.2898213906	1.5899458361	2.9896969451
4.6822742475	2.3012326721	1.5977577116	3.0047076325
4.7157190635	2.3044804367	1.5999056729	3.0090552005
4.7491638796	2.2996109739	1.5966723665	3.0025495813
4.7826086957	2.2865553216	1.5876358981	2.9854747452
4.8160535117	2.2651415988	1.5717218765	2.9585613210
4.8494983278	2.2351269105	1.5473469831	2.9229068380
4.8829431438	2.1962462052	1.5126615080	2.8798309024
4.9163879599	2.1482740414	1.4658856916	2.8306623913
4.9498327759	2.0910941034	1.4057019525	2.7764862544
4.9832775920	2.0247705620	1.3316229188	2.7179182052
5.0167224080	1.9496150759	1.2442347621	2.6549953897
5.0501672241	1.8662433865	1.1452458197	2.5872409533
5.0836120401	1.7756160707	1.0373417603	2.5138903811
5.1170568562	1.6790590410	0.9239118178	2.4342062642
5.1505016722	1.5782607457	0.8087276049	2.3477938866
5.1839464883	1.4752446326	0.6956325986	2.2548566666
5.2173913043	1.3723171804	0.5882671506	2.1563672102
5.2508361204	1.2719935518	0.4898326254	2.0541544782
5.2842809365	1.1769045541	0.4028930273	1.9509160809
5.3177257525	1.0896899931	0.3292185837	1.8501614025
5.3511705686	1.0128845680	0.2696885912	1.7560805448
5.3846153846	0.9488031113	0.2242870080	1.6733192146
5.4180602007	0.8994321667	0.1922367146	1.6066276189
5.4515050167	0.8663346139	0.1723091364	1.5603600913
5.4849498328	0.8505733062	0.1632886968	1.5378579155
5.5183946488	0.8526585323	0.1644644399	1.5408526248
5.5518394649	0.8725226278	0.1759357529	1.5691095027
5.5852842809	0.9095233470	0.1985687913	1.6204779026
5.6187290970	0.9624757832	0.2336281799	1.6913233865
5.6521739130	1.0297108103	0.2822743632	1.7771472574
5.6856187291	1.1091563493	0.3451281933	1.8731845053
